anio	departamento	letra_desc	caes_1	puestos
2014	Diamante	SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO	CONST	13
2014	Federación	ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO	SERVEMP	135
2014	Federación	ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA	SOCADMIN	4885
2014	Federación	AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA	PRIM	1651
2014	Federación	COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS	COMHOTREST	1675
2014	Federación	CONSTRUCCIÓN	CONST	368
2014	Federación	ENSEÑANZA	ENSESALUD	734
2014	Federación	EXPLOTACION DE MINAS Y CANTERAS	PRIM	27
2014	Federación	INDUSTRIA MANUFACTURERA	MANUF	1512
2014	Federación	INFORMACIÓN Y COMUNICACIONES	SERVEMP	93
2014	Federación	INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS	SERVEMP	146
2014	Federación	SERVICIO DE TRANSPORTE Y ALMACENAMIENTO	SERVEMP	281
2014	Federación	SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO	SOCADMIN	15
2014	Federación	SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA	COMHOTREST	401
2014	Federación	SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES	SOCADMIN	188
2014	Federación	SERVICIOS INMOBILIARIOS	SERVEMP	103
2014	Federación	SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS	SERVEMP	165
2014	Federación	SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO	CONST	8
2014	Federación	SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO	CONST	57
2014	Federal	ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO	SERVEMP	27
2014	Federal	ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA	SOCADMIN	2757
2014	Federal	AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA	PRIM	759
2014	Federal	COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS	COMHOTREST	426
2014	Federal	CONSTRUCCIÓN	CONST	177
2014	Federal	ENSEÑANZA	ENSESALUD	148
2014	Federal	EXPLOTACION DE MINAS Y CANTERAS	PRIM	6
2014	Federal	INDUSTRIA MANUFACTURERA	MANUF	103
2014	Federal	INFORMACIÓN Y COMUNICACIONES	SERVEMP	16
2014	Federal	INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS	SERVEMP	44
2014	Federal	SERVICIO DE TRANSPORTE Y ALMACENAMIENTO	SERVEMP	75
2014	Federal	SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO	SOCADMIN	12
2014	Federal	SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA	COMHOTREST	21
2014	Federal	SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES	SOCADMIN	74
2014	Federal	SERVICIOS INMOBILIARIOS	SERVEMP	38
2014	Federal	SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS	SERVEMP	36
2014	Federal	SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO	CONST	3
2014	Federal	SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO	CONST	4
2014	Feliciano	ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO	SERVEMP	20
2014	Feliciano	ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA	SOCADMIN	1510
2014	Feliciano	AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA	PRIM	341
2014	Feliciano	COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS	COMHOTREST	165
2014	Feliciano	CONSTRUCCIÓN	CONST	93
2014	Feliciano	ENSEÑANZA	ENSESALUD	140
2014	Feliciano	EXPLOTACION DE MINAS Y CANTERAS	PRIM	-99
2014	Feliciano	INDUSTRIA MANUFACTURERA	MANUF	36
2014	Feliciano	INFORMACIÓN Y COMUNICACIONES	SERVEMP	6
2014	Feliciano	INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS	SERVEMP	22
2014	Feliciano	SERVICIO DE TRANSPORTE Y ALMACENAMIENTO	SERVEMP	13
2014	Feliciano	SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO	SOCADMIN	-99
2014	Feliciano	SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA	COMHOTREST	31
2014	Feliciano	SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES	SOCADMIN	15
2014	Feliciano	SERVICIOS INMOBILIARIOS	SERVEMP	21
2014	Feliciano	SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS	SERVEMP	22
2014	Feliciano	SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO	CONST	10
2014	Feliciano	SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO	CONST	-99
2014	Gualeguay	ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO	SERVEMP	123
2014	Gualeguay	ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA	SOCADMIN	4636
2014	Gualeguay	AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA	PRIM	1036
2014	Gualeguay	COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS	COMHOTREST	1058
2014	Gualeguay	CONSTRUCCIÓN	CONST	469
2014	Gualeguay	ENSEÑANZA	ENSESALUD	490
2014	Gualeguay	EXPLOTACION DE MINAS Y CANTERAS	PRIM	16
2014	Gualeguay	INDUSTRIA MANUFACTURERA	MANUF	1667
2014	Gualeguay	INFORMACIÓN Y COMUNICACIONES	SERVEMP	82
2014	Gualeguay	INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS	SERVEMP	141
2014	Gualeguay	SERVICIO DE TRANSPORTE Y ALMACENAMIENTO	SERVEMP	309
2014	Gualeguay	SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO	SOCADMIN	20
2014	Gualeguay	SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA	COMHOTREST	95
2014	Gualeguay	SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES	SOCADMIN	137
2014	Gualeguay	SERVICIOS INMOBILIARIOS	SERVEMP	70
2014	Gualeguay	SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS	SERVEMP	161
2014	Gualeguay	SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO	CONST	51
2014	Gualeguay	SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO	CONST	25
2014	Gualeguaychú	ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO	SERVEMP	660
2014	Gualeguaychú	ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA	SOCADMIN	9683
2014	Gualeguaychú	AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA	PRIM	1601
2014	Gualeguaychú	COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS	COMHOTREST	2718
2014	Gualeguaychú	CONSTRUCCIÓN	CONST	930
2014	Gualeguaychú	ENSEÑANZA	ENSESALUD	1844
