depto	COMHOTREST	CONST	ENSESALUD	MANUF	PRIM	SERVEMP	SOCADMIN	anio
Paraná	1.1140534	1.2669168	1.3016218	0.9239897	0.3222213	1.270132	1.2156696	2017
San Salvador	0.565015	1.0177114	0.274072	1.2043372	1.081215	0.7458223	0.6073498	2017
Tala	1.0139821	0.9717209	0.4641	0.7625822	2.1289385	0.8600991	1.8884479	2017
Uruguay	0.7247354	0.9052177	1.2195265	1.1743168	0.3959851	0.870355	0.6869729	2017
Victoria	1.3988752	0.5804325	0.9273679	0.8144083	1.1864521	0.9247036	1.7161508	2017
Villaguay	1.2713152	1.2395679	0.9044915	0.7809864	1.9651697	0.9407861	1.4965184	2017
Colón	0.7374394	0.3110976	0.2659462	1.2856697	0.6928447	0.6208208	0.5117257	2018
Concordia	1.1876842	1.518214	0.9128828	0.8123373	2.3856157	1.1702372	0.9857887	2018
Diamante	0.8808535	0.6425673	1.4283315	1.0854613	0.7419799	0.7360994	1.002229	2018
Federación	1.1465894	0.4163064	0.7459888	1.0987265	1.5414726	0.5777328	0.7340548	2018
Federal	1.4623542	2.0251679	0.9422503	0.3237763	4.1219636	0.88503829999999994	2.5658157	2018
Feliciano	1.4623174	1.5504579	1.9573251	0.4016718	2.914439	0.9144561	2.5889272	2018
Gualeguay	0.7284767	1.084915	0.5531291	1.1590347	1.0561802	0.6553655	0.7390297	2018
Gualeguaychú	0.9255648	0.7727754	0.9076139	1.0839213	0.7268776	1.0418629	0.7860029	2018
Islas del Ibicuy	0.2209976	0.9369202	0.5234922	1.0101291	1.2794807	1.7993719	0.7854325	2018
La Paz	0.9572419	1.2701865	1.1110778	0.8451097	2.4643103	0.7716641	1.3036732	2018
Nogoyá	1.003174	0.5298264	1.0725241	1.0312301	1.3277507	0.7915144	0.9820815	2018
Paraná	1.1293912	1.24203	1.2950502	0.9229787	0.3137127	1.2836547	1.2174234	2018
San Salvador	0.5352255	1.0901173	0.2722229	1.1939356	1.4231233	0.7343686	0.5346891	2018
Tala	1.0145391	0.9440782	0.475001	0.7554213	2.0499219	0.9105022	1.9069955	2018
Uruguay	0.7327045	0.8515601	1.2288384	1.1736816	0.4011844	0.8888297	0.67552160000000006	2018
Victoria	1.3331014	0.2786338	0.86316	0.8669065	1.1404224	0.8556646	1.6496342	2018
Villaguay	1.2511487	1.3629133	0.9178299	0.7700539	1.9720106	0.9697706	1.5045916	2018
Colón	0.7245179	0.2830117	0.2573796	1.2933621	0.6545971	0.6133273	0.5172487	2019
Concordia	1.1270153	1.7450972	0.9203637	0.8097094	2.5592642	1.0902166	0.9780318	2019
Diamante	0.856637	0.6520553	1.3945523	1.0998037	0.7209734	0.71385	0.976162	2019
Federación	1.1903066	0.5457798	0.7489089	1.0723464	1.5040726	0.6436415	0.7557042	2019
Federal	1.3908683	2.2310387	0.9559984	0.3109272	3.9043104	0.9578295	2.6002398	2019
Feliciano	1.3492703	1.7762024	1.5197621	0.4305557	2.9120732	0.9662489	2.458809	2019
Gualeguay	0.7292457	1.0540267	0.5688061	1.1663376	1.0505373	0.6385433	0.7294752	2019
Gualeguaychú	0.9322078	0.8695805	0.9332581	1.0652568	0.7418161	1.0887146	0.8066977	2019
Islas del Ibicuy	0.601786	1.0282595	0.5251312	1.0261135	1.2776089	1.4118872	0.759168	2019
La Paz	0.9516829	1.1963505	1.1140084	0.8438891	2.4477434	0.776046	1.3059622	2019
Nogoyá	1.0237192	0.5796992	1.0929479	1.0234405	1.2823923	0.8058036	0.9870141	2019
Paraná	1.1405135	1.1283522	1.3031519	0.92681500000000006	0.3095134	1.289702	1.2186538	2019
San Salvador	0.5250212	0.9061395	0.2494232	1.2099897	1.0116496	0.7814006	0.6359165	2019
Tala	1.0245624	0.8648837	0.5259433	0.7331712	2.0174792	0.9756643	1.9396092	2019
Uruguay	0.7512572	0.8695466	1.1948812	1.1787861	0.3855015	0.8967886	0.6513158	2019
Victoria	1.3816719	0.1157354	0.8745975	0.85687	1.1004904	0.8980514	1.6531607	2019
Villaguay	1.2701043	1.2736258	0.89618660000000006	0.7710159	1.9171818	1.0003642	1.4892328	2019
Colón	0.6915148	0.2544045	0.2531172	1.2841285	0.6653658	0.5943716	0.5185824	2020
Concordia	1.1561219	1.7027037	0.9594828	0.8254231	2.3188938	1.1500945	1.0039118	2020
Diamante	0.8414859	0.6690467	1.3444211	1.1005197	0.7591023	0.6939926	0.9531305	2020
Federación	1.1876942	0.5974062	0.7734394	1.0591863	1.5979293	0.6145411	0.7709288	2020
Federal	1.3880671	2.3941736	0.9459747	0.3196744	4.1709068	0.9147529	2.6560172	2020
Feliciano	1.342236	2.7406484	1.4731415	0.4068388	2.5790296	0.9172489	2.737786	2020
Gualeguay	0.7267498	1.0581419	0.5816843	1.1638308	1.0785036	0.6138929	0.7171652	2020
Gualeguaychú	0.9136352	0.9365068	0.926377	1.0597633	0.78035	1.0880562	0.8039171	2020
Islas del Ibicuy	0.6753946	1.1937399	0.5352125	0.9754244	1.4619769	1.5067894	0.7870673	2020
La Paz	0.9720806	1.1339078	1.122483	0.8430574	2.5894912	0.7539084	1.3154151	2020
Nogoyá	1.0343403	0.5695594	1.0881493	1.0182442	1.3383832	0.7917892	0.9816587	2020
Paraná	1.1527625	1.1155936	1.3042526	0.9242799	0.3310298	1.2991891	1.2213902	2020
San Salvador	0.5581277	0.9875081	0.2574575	1.1972525999999999	0.9769754	0.7691006	0.6427289	2020
Tala	1.0408689	0.7826479	0.5570272	0.7180641	2.1846802	0.9860621	1.9938454	2020
Uruguay	0.7321088	0.8512109	1.1910128	1.1736696	0.401452	0.9035738	0.6359815	2020
Victoria	1.4011031	0.0548964	0.8594198	0.8730091	1.1361877	0.8561579	1.5953807	2020
Villaguay	1.287395	1.5330801	0.8095081	0.7681228	2.1228905	0.9695922	1.4671056	2020
Colón	0.6835681	0.2591609	0.2600339	1.2823021	0.6813292	0.5846423	0.5104383	2021
Concordia	1.1479545	1.8272912	0.9601096	0.8378895	2.1687072	1.1580618	0.9974154	2021
Diamante	0.864366	0.6711979	1.2769863	1.1041294	0.7667769	0.6795446	0.9343613	2021
Federación	1.1397997	0.4836056	0.7832983	1.0793415	1.5166422	0.6066844	0.772967	2021
Federal	1.2848253	2.683198	0.9241929	0.3266715	4.3859517	0.95142	2.6272591	2021
Feliciano	1.0974363	2.6157765	1.4166131	0.4452944	2.6586432	0.8776275	2.8026383	2021
Gualeguay	0.7548299	0.9198426	0.5848233	1.1627428	1.0942477	0.6070851	0.7130431	2021
Gualeguaychú	0.9118358	0.7614539	0.909808	1.0693464	0.7761893	1.066282	0.7996702	2021
Islas del Ibicuy	0.477318	1.1273582	0.5072591	0.9495579	1.4833931	1.8086899	0.7918366	2021
La Paz	0.9507698	1.2479922	1.1473216	0.8387989	2.6240808	0.7749427	1.3329004	2021
Nogoyá	1.0495337	0.4608477	1.0911629	1.0151489	1.3430066	0.8219824	0.9929546	2021
Paraná	1.1566327	1.1117116	1.302633	0.9256199	0.3481097	1.2789699	1.2199742	2021
San Salvador	0.5901755	0.9247779	0.2820938	1.1828752	1.0205783	0.7645315	0.6631647	2021
