depto	COMHOTREST	CONST	ENSESALUD	MANUF	PRIM	SERVEMP	SOCADMIN	anio
Gualeguaychú	0.9115582	0.734567	0.8833896	1.0946026	0.7236628	1.0187916	0.7783201	2017
La Paz	0.9593896	1.2045431	1.0785494	0.8486171	2.4140944	0.8060578	1.3013834	2017
Nogoyá	1.0211428	0.5155255	1.0936762	1.0198395	1.375842	0.8326966	0.9807189	2017
Paraná	1.1091779	1.2652867	1.2979042	0.9238485	0.3226243	1.27786	1.2141513	2017
San Salvador	0.5625423	1.0164019	0.2732892	1.2041531	1.082567	0.7503601	0.6065912	2017
Tala	1.0095446	0.9704706	0.4627745	0.7624656	2.1316005	0.8653322	1.8860893	2017
Uruguay	0.7215637	0.904053	1.2160434	1.1741374	0.3964802	0.8756506	0.6861148	2017
Victoria	1.3927532	0.5796856	0.9247192	0.8142838	1.1879356	0.9303298	1.7140074	2017
Villaguay	1.2657515	1.237973	0.9019082	0.780867	1.967627	0.9465102	1.4946493	2017
Colón	0.7342313	0.3109876	0.2652373	1.2857427	0.6939325	0.6236169	0.5111106	2018
Concordia	1.1825174	1.517677	0.9104494	0.8123835	2.3893612	1.1755077	0.9846038	2018
Diamante	0.8770215	0.64234	1.4245242	1.085523	0.7431449	0.7394146	1.0010243	2018
Federación	1.1416013	0.4161591	0.7440003	1.0987889	1.5438927	0.5803348	0.7331724	2018
Federal	1.4559925	2.0244516	0.9397387	0.3237947	4.1284352	0.8890243	2.5627315	2018
Feliciano	1.4559559	1.5499095	1.9521077	0.4016946	2.9190147	0.9185746	2.5858152	2018
Gualeguay	0.7253076	1.0845313	0.5516547	1.1591005	1.0578384	0.6583172	0.7381414	2018
Gualeguaychú	0.9215383	0.7725021	0.9051946	1.0839828	0.7280188	1.0465552	0.7850581	2018
La Paz	0.9530776	1.2697372	1.1081162	0.8451578	2.4681793	0.7751395	1.3021062	2018
Nogoyá	0.9988099	0.529639	1.0696652	1.0312887	1.3298353	0.7950792	0.980901	2018
Paraná	1.124478	1.2415907	1.2915981	0.9230312	0.3142053	1.289436	1.21596	2018
San Salvador	0.5328971	1.0897317	0.2714973	1.1940034	1.4253577	0.737676	0.5340463	2018
Tala	1.0101255	0.9437443	0.4737349	0.7554642	2.0531403	0.9146029	1.9047032	2018
Uruguay	0.729517	0.8512589	1.2255629	1.1737483	0.4018142	0.8928328	0.6747096	2018
Victoria	1.327302	0.2785353	0.8608592	0.8669558	1.1422129	0.8595184	1.6476513	2018
Villaguay	1.2457058	1.3624313	0.9153834	0.7700976	1.9751067	0.9741382	1.502783	2018
Colón	0.7228544	0.2830579	0.2566752	1.2935573	0.655649	0.6147908	0.5165298	2019
Concordia	1.1244275	1.7453822	0.9178448	0.8098316	2.5633768	1.0928179	0.9766724	2019
Diamante	0.8546701	0.6521618	1.3907356	1.0999697	0.7221319	0.7155533	0.9748052	2019
Federación	1.1875735	0.545869	0.7468592	1.0725082	1.5064895	0.6451773	0.7546539	2019
Federal	1.3876748	2.2314032	0.953382	0.3109741	3.9105844	0.9601149	2.5966258	2019
Feliciano	1.3461722	1.7764926	1.5156027	0.4306206	2.9167528	0.9685545	2.4553915	2019
Gualeguay	0.7275713	1.0541988	0.5672494	1.1665136	1.0522254	0.640067	0.7284613	2019
Gualeguaychú	0.9300673	0.8697226	0.9307039	1.0654176	0.7430081	1.0913124	0.8055765	2019
La Paz	0.9494978	1.1965459	1.1109595	0.8440165	2.4516768	0.7778977	1.3041471	2019
Nogoyá	1.0213687	0.5797939	1.0899567	1.023595	1.284453	0.8077263	0.9856423	2019
Paraná	1.1378948	1.1285365	1.2995853	0.9269549	0.3100108	1.2927793	1.21696	2019
San Salvador	0.5238157	0.9062875	0.2487406	1.2101723	1.0132753	0.7832651	0.6350326	2019
Tala	1.0222099	0.865025	0.5245038	0.7332819	2.0207212	0.9779923	1.9369133	2019
Uruguay	0.7495323	0.8696886	1.191611	1.178964	0.386121	0.8989284	0.6504105	2019
Victoria	1.3784995	0.1157543	0.8722039	0.8569993	1.1022588	0.9001943	1.650863	2019
Villaguay	1.267188	1.2738338	0.8937339	0.7711322	1.9202626	1.0027512	1.487163	2019
Colón	0.6902836	0.2546756	0.2524724	1.2839551	0.6670592	0.5960314	0.5179763	2020
Concordia	1.1540634	1.7045183	0.9570386	0.8253116	2.3247953	1.1533062	1.0027386	2020
Diamante	0.8399877	0.6697597	1.3409962	1.1003711	0.7610342	0.6959306	0.9520166	2020
