rotation.PC1	rotation.PC2	rotation.PC3	rotation.PC4	rotation.PC5	rotation.PC6	rotation.PC7	rotation.PC8	rotation.PC9	rotation.PC10	rotation.PC11	rotation.PC12	rotation.PC13	rotation.PC14	var
0.25485208796027586	0.19010546759330677	0.2258674609181035	0.128190015877373	0.03962283127630805	0.2446569886884259	-0.10064742886802132	0.050861325954574474	0.18496488925518206	0.15476800999375254	0.05627677133083272	-0.1266224325774328	0.16251319078572207	-0.40548001933526473	Elaboración.de.productos.alimenticios
0.3005763619500761	-0.10927912955507173	-0.16161429671591496	0.12354491807201073	0.018743946871164034	-0.17087456550828506	-0.01110802203466692	0.0272134528037443	-0.06676285645653651	0.01893158655694644	0.024496307191549098	-0.22253654211925336	-0.1911711235488608	0.3710125840561766	Elaboración.de.bebidas
0.28041271542667207	0.188005114794949	0.09864066123230802	-0.12927179739840713	0.13563675473722467	-0.03255268158472974	-0.05511843183551459	-0.3802144410709607	0.21440273441501176	0.033538445985415506	-0.15072736695869218	-0.13463971465729155	-0.09427251336921719	0.27306036376589365	Elaboración.de.productos.textiles
0.1076596373579718	0.07418631160622803	0.3332165791860881	0.2920922847044749	-0.11914996923782951	0.4253643480189011	0.30974731869482536	0.1855605682382938	-0.11285039159294766	-0.25236692910985914	0.0598475674943329	0.045734310140368925	-0.3915209837821289	0.13509434461809885	Elaboración.de.prendas.de.vestir
0.1630212597880426	-0.11169768170908076	-0.38684112404731863	0.3298346966822963	0.04659909487282136	-0.06488951376015027	0.05387251346110915	-0.06829803291042738	-0.007711183874140182	0.17812448101242778	0.06670704716851904	0.17832947226979773	-0.08604445836029388	0.20872124063398717	Elaboración.de.productos.de.cuero.y.calzado
0.09195857176930486	-0.3607314173065374	0.3542042704789776	0.00413274324780713	0.007564797425817873	-0.06480826910715178	0.23179118003196628	0.019770374910379813	-0.17047097253931326	0.1281882641509963	0.13491380589165514	0.4561366567083807	0.10297799716079224	-0.17313632569325405	Elaboración.de.productos.de.madera
0.12727173991911958	0.24677252082003157	0.06031830712405939	-0.1460854075333123	0.17103068404905875	-0.4411636435559644	0.484111419989124	0.505834975936783	0.1112326940585979	0.04176753442069886	0.06851061623803868	-0.2311096645490108	0.2029345497563785	-0.005593828435998488	Elaboración.de.productos.de.papel
0.27738872344507015	-0.054108318372966785	0.16996917705591208	-0.048134080511216176	-0.041964337653360884	-0.16052992813243117	-0.41874597133243857	0.25370941887787163	-0.06039023324192381	0.25297581826177856	0.16174348925060286	0.3284813008509229	0.11790379987362584	0.3311917505488007	Imprentas.y.editoriales
0.15326380170619552	-0.39457744947654017	-0.028487312630938427	-0.2161734366308622	0.20927340341142786	0.1545467872691207	0.03582065717720104	-0.12371052296635543	-0.15749671437051246	0.4440190527189822	0.007995676608047626	-0.3403831838919576	0.04894116467599652	-0.197530903376446	Fabricación.de.sustancias.químicas
0.28875381244626186	0.19703032889619285	0.055514200919492586	-0.07948298950502716	-0.10640607964039243	-0.14601086878805308	-0.034780268064129725	-0.2533952981272022	6.818625613222982e-4	-0.19864162499089075	-0.5155855252037641	0.30927900518137597	0.23756549870084223	-0.1700771459846172	Elaboracion.de.productos.farmacéuticos
0.21766944010065054	-0.05677380627080624	-0.3163060482514668	0.3075449705735816	-0.05098377511915701	-0.03780092690287075	0.17602811430147403	-0.21863812056263285	-0.08610436674814535	-0.06960780067871576	0.09162565234301946	-0.1398031291682199	0.014839008632171642	-0.30749924872735224	Fabricación.de.productos.de.caucho.y.vidrio
0.07512511479136916	-0.06902513790113332	-0.16623847438026568	-0.262335819937241	-0.6656181568148128	0.1674031682188573	0.028074125225195288	0.29727061284709355	0.1046776333891018	0.20810732952911445	-0.3521923343205263	-0.120498931388304	-0.12255351833258732	0.0281661721502887	Fabricación.de.productos.de.vidrio.y.otros.minerales.no.metálicos
0.08990959896194428	0.0570607112637017	-0.1876410635071466	-0.41822528692986555	0.3884261319813113	0.4011119563213137	0.20002783911197533	-0.006312982944148995	-0.16072044554302775	-0.03172482640605186	-0.07230909617765546	0.2174705226599786	-0.01791406970371759	0.19090154785492666	Fabricación.de.metales.comunes
0.26783519584754273	-0.057729744361251306	-0.020651655337724444	0.12231024423128001	0.2607481750217729	0.20076125673096074	-0.3723625807466554	0.3056580603609625	0.03888843013681299	-0.4124637008231421	-0.02970610151578232	-0.20885110874139703	0.21309125810950655	0.015945621448007184	Fabricación.de.productos.elaborados.del.metal..excepto.maquinaria.y.equipo
0.20134101710673974	0.11460269645071211	-0.1910118619770137	-0.30866220805007194	-0.39713256158789345	0.07604591613189057	0.05180642967640012	-0.15743817306557814	-0.21971196178088304	-0.2870064407180474	0.57537296665845306	-0.014906774724677128	0.3107303594279876	0.03604798008205194	Fabricación.de.productos.de.informática..de.electrónica.y.de.óptica
0.26090154506747276	-0.10828847893501102	0.25602065814135777	-0.18427255662634878	-0.049115153065906234	-0.060194948290490734	-0.21026774502093243	0.03737153134501183	-0.37471560246718305	-0.07067511590728044	-0.039318373262227604	-0.22133482976571575	-0.27505065299281584	-0.1541799021042943	Fabricación.de.equipo.eléctrico
0.22496979138650536	0.17298231537276693	0.274687913231997	0.12094651799324846	-0.10105995953195396	0.22701097557218272	0.24458089120733437	-0.24046617187058855	0.1931390747300675	0.2960588196269618	0.0722045666574177	-0.10167276794336785	0.21724525031367614	0.26874116032080864	Fabricación.de.maquinarias
