year	depto	letra	clae2_desc	puestos
2014	Concordia	C	Fabricación de productos de informática, de electrónica y de óptica	36
2014	Concordia	C	Fabricación de productos de vidrio y otros minerales no metálicos	56
2014	Concordia	C	Fabricación de productos elaborados del metal, excepto maquinaria y equipo	108
2014	Concordia	C	Fabricación de sustancias químicas	122
2014	Concordia	C	Fabricación de vehículos automotores, remolques y semirremolques	27
2014	Concordia	C	Imprentas y editoriales	44
2014	Concordia	C	Otras industrias manufactureras	33
2014	Concordia	C	Reparación e instalación de maquinaria y equipo	11
2014	Concordia	D	Suministro de electricidad, gas, vapor y aire acondicionado	213
2014	Concordia	E	Captación, tratamiento y distribución de agua	21
2014	Concordia	E	Descontaminación y otros servicios	NA
2014	Concordia	E	Recogida, tratamiento y eliminación de desechos; recuperación de materiales	18
2014	Concordia	F	Actividades especializadas de construcción 	184
2014	Concordia	F	Construcción de edificios y partes	726
2014	Concordia	F	Obras de ingeniería civil	570
2014	Concordia	G	Comercio al por mayor excepto autos y motos	1642
2014	Concordia	G	Comercio al por mayor y al por menor y reparación de vehículos automotores y motos	449
2014	Concordia	G	Comercio al por menor excepto autos y motos	2237
2014	Concordia	H	Almacenamiento y actividades de apoyo al transporte	63
2014	Concordia	H	Servicio de correo y mensajería	96
2014	Concordia	H	Transporte acuático	NA
2014	Concordia	H	Transporte aéreo	NA
2014	Concordia	H	Transporte terrestre y por tuberías	715
2014	Concordia	I	Servicios de alojamiento	201
2014	Concordia	I	Servicios de expendio de alimentos y bebidas	330
2014	Concordia	J	Actividades de procesamiento de información	20
2014	Concordia	J	Edición	11
2014	Concordia	J	Programación y transmisiones de TV y radio	103
2014	Concordia	J	Servicios audiovisuales	9
2014	Concordia	J	Servicios de programación, consultoría informática y actividades conexas	34
2014	Concordia	J	Telecomunicaciones	85
2014	Concordia	K	Servicios auxiliares de la actividad financiera y de seguros	44
2014	Concordia	K	Servicios de seguros, reaseguros y pensiones	224
2014	Concordia	K	Servicios financieros (excepto seguros y pensiones)	400
2014	Concordia	L	Servicios inmobiliarios	264
2014	Concordia	M	Investigación y desarrollo científico	4
2014	Concordia	M	Otras actividades profesionales, científicas y técnicas	9
2014	Concordia	M	Servicios de arquitectura e ingeniería	90
2014	Concordia	M	Servicios de publicidad e investigación de mercado	24
2014	Concordia	M	Servicios jurídicos y de contabilidad	126
2014	Concordia	M	Servicios veterinarios	5
2014	Concordia	M	Servicios y asesoramiento de dirección y gestión empresarial	89
2014	Concordia	N	Actividades administrativas y de apoyo a oficinas y empresas	538
2014	Concordia	N	Actividades de investigación y seguridad	272
2014	Concordia	N	Agencias de viajes, servicios de reservas y actividades conexas	65
2014	Concordia	N	Alquiler y arrendamiento	59
2014	Concordia	N	Servicios a edificios y actividades de jardinería	177
2014	Concordia	N	Servicios de obtención y dotación de personal	244
2014	Concordia	P	Enseñanza	1558
2014	Concordia	Q	Actividades de atención en instituciones	9
2014	Concordia	Q	Servicios de salud humana	647
2014	Concordia	R	Actividades deportivas, recreativas y de entretenimiento	51
2014	Concordia	R	Juegos de azar y apuestas	37
2014	Concordia	R	Servicios artísticos y de espectáculos	80
2014	Concordia	R	Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.	NA
2014	Concordia	S	Otros servicios personales	97
2014	Concordia	S	Reparación de computadoras y equipos de uso doméstico	8
2014	Concordia	S	Servicios de asociaciones	490
2014	Diamante	Otro	Otros sectores	11
2014	Diamante	A	Agricultura, ganadería, caza y servicios relacionados	587
2014	Diamante	A	Pesca y acuicultura	16
2014	Diamante	A	Silvicultura y explotación forestal	NA
2014	Diamante	B	Actividades de apoyo al petróleo y la minería	3
