depto	desc_clae	puestos
Uruguay	VidOtrMin	31
Uruguay	MetalExcMaqEq	109
Uruguay	SustQuim	18
Uruguay	AutoRemSemi	239
Uruguay	ImpEdit	11
Uruguay	Otr	11
Uruguay	RepInstalMaq	3
Victoria	Farm	6
Victoria	Bebi	12
Victoria	Vest	0
Victoria	Alim	389
Victoria	Cuercalz	4
Victoria	Made	0
Victoria	Pape	0
Victoria	Text	0
Victoria	EquiElec	6
Victoria	Maqu	14
Victoria	MetCom	5
Victoria	Mueb	0
Victoria	EquiTran	3
Victoria	CauVid	9
Victoria	InfoElecOpt	6
Victoria	VidOtrMin	160
Victoria	MetalExcMaqEq	13
Victoria	SustQuim	16
Victoria	AutoRemSemi	20
Victoria	ImpEdit	4
Victoria	Otr	5
Victoria	RepInstalMaq	4
Villaguay	Farm	3
Villaguay	Bebi	6
Villaguay	Vest	0
Villaguay	Alim	434
Villaguay	Cuercalz	0
Villaguay	Made	0
Villaguay	Pape	0
Villaguay	Text	4
Villaguay	EquiElec	3
Villaguay	Maqu	18
Villaguay	MetCom	5
Villaguay	Mueb	5
Villaguay	CauVid	8
Villaguay	InfoElecOpt	0
Villaguay	VidOtrMin	0
Villaguay	MetalExcMaqEq	19
Villaguay	SustQuim	15
Villaguay	AutoRemSemi	7
Villaguay	ImpEdit	0
Villaguay	RepInstalMaq	0
