produccion	servicios	depto
0.05405996935872182	0.002222716159146477	Colón
-0.15492554410080184	-0.03497995051616756	Concordia
0.13391136801541426	0.06817622446468127	Diamante
-0.09302325581395349	-0.03933161953727506	Federación
0.04259438528557599	-0.0063025210084033615	Federal
0.24733475479744135	-0.0078125	Feliciano
0.014506172839506172	0.08315334773218143	Gualeguay
-0.04512	0.024972004479283313	Gualeguaychú
0.02064896755162242	0.07971014492753623	Islas del Ibicuy
0.10909712722298222	0.09528585757271815	La Paz
0.04708798017348203	0.03153153153153153	Nogoyá
0.03168206767178489	0.04370865180808016	Paraná
0.036393713813068655	0.19375	San Salvador
-0.07371794871794872	0.03677221654749745	Tala
0.05541651769753307	0.030406739502435172	Uruguay
-0.054648687012065295	-0.028360957642725598	Victoria
0.06305803571428571	0.16210295728368018	Villaguay
