total	depto
0.028341420379355976	Colón
-0.09158895346217957	Concordia
0.09040560351848835	Diamante
-0.06518261796854172	Federación
0.019143576826196475	Federal
0.1324736225087925	Feliciano
0.046194749086075106	Gualeguay
-0.0038866930171277997	Gualeguaychú
0.05312084993359894	Islas del Ibicuy
0.10211327134404058	La Paz
0.03808033385498174	Nogoyá
0.039906876633502446	Paraná
0.09085992428339643	San Salvador
-0.01723237597911227	Tala
0.041012811765597755	Uruguay
-0.03734238603297769	Victoria
0.11304588170259812	Villaguay
