fecha,clae6,puestos
2007-01-01,170201,2736
2007-01-01,170202,7707
2007-01-01,170910,5240
2007-01-01,170990,8087
2007-01-01,181101,5113
2007-01-01,181109,16030
2007-01-01,181200,4946
2007-01-01,182000,117
2007-01-01,191000,179
2007-01-01,192000,6936
2007-01-01,201110,1528
2007-01-01,201120,1035
2007-01-01,201130,891
2007-01-01,201180,877
2007-01-01,201190,1365
2007-01-01,201210,385
2007-01-01,201220,152
2007-01-01,201300,588
2007-01-01,201401,2643
2007-01-01,201409,1269
2007-01-01,202101,4532
2007-01-01,202200,6329
2007-01-01,202311,1992
2007-01-01,202312,6046
2007-01-01,202320,9006
2007-01-01,202906,524
2007-01-01,202907,1038
2007-01-01,202908,13804
2007-01-01,203000,245
2007-01-01,204000,136
2007-01-01,210010,25653
2007-01-01,210020,2579
2007-01-01,210030,772
2007-01-01,210090,1465
2007-01-01,221110,3847
2007-01-01,221120,1083
2007-01-01,221901,2023
2007-01-01,221909,5386
2007-01-01,222010,16642
2007-01-01,222090,31331
2007-01-01,231010,2912
2007-01-01,231020,1048
2007-01-01,231090,2680
2007-01-01,239100,596
2007-01-01,239201,2511
2007-01-01,239202,4067
2007-01-01,239209,1779
2007-01-01,239310,1904
2007-01-01,239391,750
2007-01-01,239399,810
2007-01-01,239410,2571
2007-01-01,239421,221
2007-01-01,239422,2203
2007-01-01,239510,1205
2007-01-01,239591,2103
2007-01-01,239592,4958
2007-01-01,239593,1666
2007-01-01,239600,2109
2007-01-01,239900,4388
2007-01-01,241001,1603
2007-01-01,241009,24472
2007-01-01,242010,2637
2007-01-01,242090,1884
2007-01-01,243100,4814
2007-01-01,243200,4593
2007-01-01,251101,8936
2007-01-01,251102,10675
2007-01-01,251200,3964
2007-01-01,251300,119
2007-01-01,252000,261
2007-01-01,259100,5500
2007-01-01,259200,3745
2007-01-01,259301,1334
2007-01-01,259302,735
2007-01-01,259309,2331
2007-01-01,259910,4276
2007-01-01,259991,529
2007-01-01,259992,160
2007-01-01,259993,13123
2007-01-01,259999,27858
2007-01-01,261000,574
2007-01-01,262000,1776
2007-01-01,263000,937
2007-01-01,264000,3821
2007-01-01,265101,2104
2007-01-01,265102,976
2007-01-01,265200,92
2007-01-01,266010,691
2007-01-01,266090,2205
2007-01-01,267001,1417
2007-01-01,267002,-99
2007-01-01,268000,-99
2007-01-01,271010,4990
2007-01-01,271020,3192
2007-01-01,272000,1817
2007-01-01,273110,34
2007-01-01,273190,2556
2007-01-01,274000,1766
2007-01-01,275010,3833
2007-01-01,275020,3079
2007-01-01,275091,933
2007-01-01,275092,323
2007-01-01,275099,3470
2007-01-01,279000,4385
2007-01-01,281100,697
2007-01-01,281201,2566
2007-01-01,281301,2489
2007-01-01,281400,1030
2007-01-01,281500,444
2007-01-01,281600,2064
2007-01-01,281700,164
2007-01-01,281900,6212
2007-01-01,282110,630
2007-01-01,282120,10781
2007-01-01,282130,1285
2007-01-01,282200,1252
2007-01-01,282300,1788
2007-01-01,282400,1049
2007-01-01,282500,3339
2007-01-01,282600,381
2007-01-01,282901,345
2007-01-01,282909,9812
2007-01-01,291000,19127
2007-01-01,292000,6207
2007-01-01,293011,862
2007-01-01,293090,38709
2007-01-01,301100,3529
2007-01-01,301200,900
2007-01-01,302000,5671
2007-01-01,303000,311
2007-01-01,309100,1296
2007-01-01,309200,1104
2007-01-01,309900,326
2007-01-01,310010,13690
2007-01-01,310020,3272
2007-01-01,310030,2804
2007-01-01,321011,341
2007-01-01,321012,109
2007-01-01,321020,326
2007-01-01,322001,193
2007-01-01,323001,1621
2007-01-01,324000,839
2007-01-01,329010,410
2007-01-01,329020,645
2007-01-01,329030,345
2007-01-01,329040,241
2007-01-01,329090,8842
2007-01-01,331101,1207
2007-01-01,331210,2839
2007-01-01,331220,241
2007-01-01,331290,2108
2007-01-01,331301,185
2007-01-01,331400,345
2007-01-01,331900,3771
2007-01-01,332000,746
2007-01-01,351110,3062
2007-01-01,351130,723
2007-01-01,351190,278
2007-01-01,351201,1559
2007-01-01,351310,-99
2007-01-01,351320,26375
2007-01-01,352010,48
2007-01-01,352020,5211
2007-01-01,353001,-99
2007-01-01,360010,2072
2007-01-01,360020,5656
2007-01-01,370000,867
2007-01-01,381100,17535
2007-01-01,381200,2269
2007-01-01,382010,1135
2007-01-01,382020,1364
2007-01-01,390000,353
2007-01-01,410011,118803
2007-01-01,410021,90203
2007-01-01,421000,42138
2007-01-01,422100,844
2007-01-01,422200,33063
2007-01-01,429010,5685
2007-01-01,429090,31699
2007-01-01,431100,621
2007-01-01,431210,8729
2007-01-01,431220,779
2007-01-01,432110,502
2007-01-01,432190,16009
2007-01-01,432200,6677
2007-01-01,432910,1663
2007-01-01,432920,985
2007-01-01,432990,6676
2007-01-01,433010,1836
2007-01-01,433020,1982
2007-01-01,433030,163
2007-01-01,433040,2642
2007-01-01,433090,381
2007-01-01,439100,1325
2007-01-01,439910,2704
2007-01-01,439990,11132
2007-01-01,451110,17651
2007-01-01,451190,4828
2007-01-01,451210,1492
2007-01-01,451290,764
2007-01-01,452101,2004
2007-01-01,452210,687
2007-01-01,452220,1159
2007-01-01,452300,628
2007-01-01,452401,1326
2007-01-01,452500,215
2007-01-01,452600,2993
2007-01-01,452700,206
2007-01-01,452800,567
2007-01-01,452910,284
2007-01-01,452990,10606
2007-01-01,453100,11721
2007-01-01,453210,5071
2007-01-01,453220,579
2007-01-01,453291,10559
2007-01-01,453292,221
2007-01-01,454010,2954
2007-01-01,454020,140
2007-01-01,461011,22769
2007-01-01,461012,261
2007-01-01,461013,240
2007-01-01,461014,371
2007-01-01,461019,1325
2007-01-01,461021,5065
2007-01-01,461022,16
2007-01-01,461029,356
2007-01-01,461031,178
2007-01-01,461032,2658
2007-01-01,461039,1557
2007-01-01,461040,4845
2007-01-01,461091,229
2007-01-01,461092,182
2007-01-01,461093,227
2007-01-01,461094,257
2007-01-01,461095,192
2007-01-01,461099,3689
2007-01-01,462120,1288
2007-01-01,462131,5371
2007-01-01,462132,440
2007-01-01,462190,872
2007-01-01,462201,401
2007-01-01,462209,333
2007-01-01,463111,2975
2007-01-01,463112,1838
2007-01-01,463121,1735
2007-01-01,463129,1394
2007-01-01,463130,709
2007-01-01,463140,8163
2007-01-01,463151,622
2007-01-01,463152,739
2007-01-01,463153,308
2007-01-01,463154,628
2007-01-01,463159,771
2007-01-01,463160,7546
2007-01-01,463170,1121
2007-01-01,463180,10261
2007-01-01,463191,945
2007-01-01,463199,13656
2007-01-01,463211,1463
2007-01-01,463212,95
2007-01-01,463219,6640
2007-01-01,463220,3805
2007-01-01,463300,4391
2007-01-01,464111,2698
2007-01-01,464112,1057
2007-01-01,464113,618
2007-01-01,464114,332
2007-01-01,464119,1075
2007-01-01,464121,64
2007-01-01,464122,298
2007-01-01,464129,4562
2007-01-01,464130,1832
2007-01-01,464141,535
2007-01-01,464142,251
2007-01-01,464149,869
2007-01-01,464150,176
2007-01-01,464211,1806
2007-01-01,464212,1638
2007-01-01,464221,1994
2007-01-01,464222,549
2007-01-01,464223,4258
2007-01-01,464310,16904
2007-01-01,464320,6172
2007-01-01,464330,2209
2007-01-01,464340,850
2007-01-01,464410,1610
2007-01-01,464420,2198
2007-01-01,464501,1824
2007-01-01,464502,2116
2007-01-01,464610,308
2007-01-01,464620,1716
2007-01-01,464631,243
2007-01-01,464632,2200
2007-01-01,464910,314
2007-01-01,464920,3848
2007-01-01,464930,1392
2007-01-01,464940,476
2007-01-01,464950,704
2007-01-01,464991,457
2007-01-01,464999,1534
2007-01-01,465100,4904
2007-01-01,465210,2140
2007-01-01,465220,494
2007-01-01,465310,2336
2007-01-01,465320,373
2007-01-01,465330,468
2007-01-01,465340,1250
2007-01-01,465350,1484
2007-01-01,465360,48
2007-01-01,465390,3251
2007-01-01,465400,2044
2007-01-01,465500,78
2007-01-01,465610,485
2007-01-01,465690,586
2007-01-01,465910,1869
2007-01-01,465920,362
2007-01-01,465930,2349
2007-01-01,465990,6143
2007-01-01,466110,4065
2007-01-01,466121,2551
2007-01-01,466129,798
2007-01-01,466200,3372
2007-01-01,466310,262
2007-01-01,466320,2595
2007-01-01,466330,5952
2007-01-01,466340,1298
2007-01-01,466350,704
2007-01-01,466360,2078
2007-01-01,466370,203
2007-01-01,466391,672
2007-01-01,466399,7153
2007-01-01,466910,59
2007-01-01,466920,644
2007-01-01,466931,716
2007-01-01,466932,4194
2007-01-01,466939,986
2007-01-01,466940,1456
2007-01-01,466990,986
2007-01-01,469010,571
2007-01-01,469090,21105
2007-01-01,471110,38986
2007-01-01,471120,85312
2007-01-01,471130,14156
2007-01-01,471190,7117
2007-01-01,471900,4509
2007-01-01,472111,1302
2007-01-01,472112,1436
2007-01-01,472120,5138
2007-01-01,472130,8007
2007-01-01,472140,1854
2007-01-01,472150,570
2007-01-01,472160,2397
2007-01-01,472171,11709
2007-01-01,472172,2353
2007-01-01,472190,9800
2007-01-01,472200,1589
2007-01-01,472300,85
2007-01-01,473000,50788
2007-01-01,474010,5813
2007-01-01,474020,1206
2007-01-01,475110,1818
2007-01-01,475120,739
2007-01-01,475190,2241
2007-01-01,475210,992
2007-01-01,475220,2553
2007-01-01,475230,9875
2007-01-01,475240,5733
2007-01-01,475250,1253
2007-01-01,475260,1048
2007-01-01,475270,684
2007-01-01,475290,18449
2007-01-01,475300,21092
2007-01-01,475410,5398
2007-01-01,475420,736
2007-01-01,475430,2784
2007-01-01,475440,4653
2007-01-01,475490,10333
2007-01-01,476110,4087
2007-01-01,476120,739
2007-01-01,476130,6235
2007-01-01,476200,223
2007-01-01,476310,3723
2007-01-01,476320,757
2007-01-01,476400,4925
2007-01-01,477110,2960
2007-01-01,477120,401
2007-01-01,477130,3006
2007-01-01,477140,5457
2007-01-01,477150,1212
2007-01-01,477190,35414
2007-01-01,477210,1186
2007-01-01,477220,9184
2007-01-01,477230,4441
2007-01-01,477290,2299
2007-01-01,477310,29408
2007-01-01,477320,8167
2007-01-01,477330,2137
2007-01-01,477410,5163
2007-01-01,477420,2208
2007-01-01,477430,627
2007-01-01,477440,3252
2007-01-01,477450,1352
2007-01-01,477460,2458
2007-01-01,477470,1934
2007-01-01,477480,201
2007-01-01,477490,19148
2007-01-01,477810,127
2007-01-01,477820,43
2007-01-01,477830,254
2007-01-01,477840,9
2007-01-01,477890,287
2007-01-01,478010,207
2007-01-01,478090,234
2007-01-01,479101,712
2007-01-01,479109,295
2007-01-01,479900,1839
2007-01-01,491110,4888
2007-01-01,491120,-99
2007-01-01,491200,4784
2007-01-01,492110,59072
2007-01-01,492120,28673
2007-01-01,492130,251
2007-01-01,492140,1984
2007-01-01,492150,28894
2007-01-01,492160,310
2007-01-01,492170,794
2007-01-01,492180,2568
2007-01-01,492190,7003
2007-01-01,492210,709
2007-01-01,492221,2240
2007-01-01,492229,11950
2007-01-01,492230,1263
2007-01-01,492240,3224
2007-01-01,492250,2140
2007-01-01,492280,16257
2007-01-01,492290,66569
2007-01-01,493110,304
2007-01-01,493200,1422
2007-01-01,501100,265
2007-01-01,501200,2435
2007-01-01,502101,847
2007-01-01,502200,1584
2007-01-01,511000,3830
2007-01-01,512000,811
2007-01-01,521010,3049
2007-01-01,521020,3578
2007-01-01,521030,-99
